model,dataset,mse,mae,value_type,source,source_table,source_url
TimeMixer++,ETT average,0.055,0.154,published point estimate,TimeMixer++ ICLR 2025 paper,Table 4,https://openreview.net/pdf?id=1CLzLXSFNn
TimeMixer++,ECL,0.109,0.197,published point estimate,TimeMixer++ ICLR 2025 paper,Table 4,https://openreview.net/pdf?id=1CLzLXSFNn
TimeMixer++,Weather,0.049,0.078,published point estimate,TimeMixer++ ICLR 2025 paper,Table 4,https://openreview.net/pdf?id=1CLzLXSFNn
TimeMixer,ETT average,0.097,0.220,published point estimate,TimeMixer++ ICLR 2025 paper,Table 4,https://openreview.net/pdf?id=1CLzLXSFNn
TimeMixer,ECL,0.142,0.261,published point estimate,TimeMixer++ ICLR 2025 paper,Table 4,https://openreview.net/pdf?id=1CLzLXSFNn
TimeMixer,Weather,0.091,0.114,published point estimate,TimeMixer++ ICLR 2025 paper,Table 4,https://openreview.net/pdf?id=1CLzLXSFNn
iTransformer,ETT average,0.096,0.205,published point estimate,TimeMixer++ ICLR 2025 paper,Table 4,https://openreview.net/pdf?id=1CLzLXSFNn
iTransformer,ECL,0.140,0.223,published point estimate,TimeMixer++ ICLR 2025 paper,Table 4,https://openreview.net/pdf?id=1CLzLXSFNn
iTransformer,Weather,0.095,0.102,published point estimate,TimeMixer++ ICLR 2025 paper,Table 4,https://openreview.net/pdf?id=1CLzLXSFNn
PatchTST,ETT average,0.120,0.225,published point estimate,TimeMixer++ ICLR 2025 paper,Table 4,https://openreview.net/pdf?id=1CLzLXSFNn
PatchTST,ECL,0.129,0.198,published point estimate,TimeMixer++ ICLR 2025 paper,Table 4,https://openreview.net/pdf?id=1CLzLXSFNn
PatchTST,Weather,0.082,0.149,published point estimate,TimeMixer++ ICLR 2025 paper,Table 4,https://openreview.net/pdf?id=1CLzLXSFNn
Crossformer,ETT average,0.150,0.258,published point estimate,TimeMixer++ ICLR 2025 paper,Table 4,https://openreview.net/pdf?id=1CLzLXSFNn
Crossformer,ECL,0.125,0.204,published point estimate,TimeMixer++ ICLR 2025 paper,Table 4,https://openreview.net/pdf?id=1CLzLXSFNn
Crossformer,Weather,0.150,0.111,published point estimate,TimeMixer++ ICLR 2025 paper,Table 4,https://openreview.net/pdf?id=1CLzLXSFNn
FEDformer,ETT average,0.124,0.230,published point estimate,TimeMixer++ ICLR 2025 paper,Table 4,https://openreview.net/pdf?id=1CLzLXSFNn
FEDformer,ECL,0.181,0.314,published point estimate,TimeMixer++ ICLR 2025 paper,Table 4,https://openreview.net/pdf?id=1CLzLXSFNn
FEDformer,Weather,0.064,0.139,published point estimate,TimeMixer++ ICLR 2025 paper,Table 4,https://openreview.net/pdf?id=1CLzLXSFNn
TiDE,ETT average,0.314,0.366,published point estimate,TimeMixer++ ICLR 2025 paper,Table 4,https://openreview.net/pdf?id=1CLzLXSFNn
TiDE,ECL,0.182,0.202,published point estimate,TimeMixer++ ICLR 2025 paper,Table 4,https://openreview.net/pdf?id=1CLzLXSFNn
TiDE,Weather,0.063,0.131,published point estimate,TimeMixer++ ICLR 2025 paper,Table 4,https://openreview.net/pdf?id=1CLzLXSFNn
DLinear,ETT average,0.115,0.229,published point estimate,TimeMixer++ ICLR 2025 paper,Table 4,https://openreview.net/pdf?id=1CLzLXSFNn
DLinear,ECL,0.080,0.200,published point estimate,TimeMixer++ ICLR 2025 paper,Table 4,https://openreview.net/pdf?id=1CLzLXSFNn
DLinear,Weather,0.071,0.107,published point estimate,TimeMixer++ ICLR 2025 paper,Table 4,https://openreview.net/pdf?id=1CLzLXSFNn
TimesNet,ETT average,0.079,0.182,published point estimate,TimeMixer++ ICLR 2025 paper,Table 4,https://openreview.net/pdf?id=1CLzLXSFNn
TimesNet,ECL,0.135,0.255,published point estimate,TimeMixer++ ICLR 2025 paper,Table 4,https://openreview.net/pdf?id=1CLzLXSFNn
TimesNet,Weather,0.061,0.098,published point estimate,TimeMixer++ ICLR 2025 paper,Table 4,https://openreview.net/pdf?id=1CLzLXSFNn
MICN,ETT average,0.119,0.234,published point estimate,TimeMixer++ ICLR 2025 paper,Table 4,https://openreview.net/pdf?id=1CLzLXSFNn
MICN,ECL,0.138,0.246,published point estimate,TimeMixer++ ICLR 2025 paper,Table 4,https://openreview.net/pdf?id=1CLzLXSFNn
MICN,Weather,0.075,0.126,published point estimate,TimeMixer++ ICLR 2025 paper,Table 4,https://openreview.net/pdf?id=1CLzLXSFNn
Autoformer,ETT average,0.104,0.215,published point estimate,TimeMixer++ ICLR 2025 paper,Table 4,https://openreview.net/pdf?id=1CLzLXSFNn
Autoformer,ECL,0.141,0.234,published point estimate,TimeMixer++ ICLR 2025 paper,Table 4,https://openreview.net/pdf?id=1CLzLXSFNn
Autoformer,Weather,0.066,0.107,published point estimate,TimeMixer++ ICLR 2025 paper,Table 4,https://openreview.net/pdf?id=1CLzLXSFNn
