model,dataset,mse,mae,value_type,source,source_table,source_url
TimeMixer++,Electricity,0.165,0.253,published point estimate,TimeMixer++ ICLR 2025 paper,Table 1,https://openreview.net/pdf?id=1CLzLXSFNn
TimeMixer++,ETT average,0.349,0.399,published point estimate,TimeMixer++ ICLR 2025 paper,Table 1,https://openreview.net/pdf?id=1CLzLXSFNn
TimeMixer++,Exchange,0.357,0.391,published point estimate,TimeMixer++ ICLR 2025 paper,Table 1,https://openreview.net/pdf?id=1CLzLXSFNn
TimeMixer++,Traffic,0.416,0.264,published point estimate,TimeMixer++ ICLR 2025 paper,Table 1,https://openreview.net/pdf?id=1CLzLXSFNn
TimeMixer++,Weather,0.226,0.262,published point estimate,TimeMixer++ ICLR 2025 paper,Table 1,https://openreview.net/pdf?id=1CLzLXSFNn
TimeMixer++,Solar-Energy,0.203,0.238,published point estimate,TimeMixer++ ICLR 2025 paper,Table 1,https://openreview.net/pdf?id=1CLzLXSFNn
TimeMixer,Electricity,0.182,0.272,published point estimate,TimeMixer++ ICLR 2025 paper,Table 1,https://openreview.net/pdf?id=1CLzLXSFNn
TimeMixer,ETT average,0.367,0.388,published point estimate,TimeMixer++ ICLR 2025 paper,Table 1,https://openreview.net/pdf?id=1CLzLXSFNn
TimeMixer,Exchange,0.391,0.453,published point estimate,TimeMixer++ ICLR 2025 paper,Table 1,https://openreview.net/pdf?id=1CLzLXSFNn
TimeMixer,Traffic,0.484,0.297,published point estimate,TimeMixer++ ICLR 2025 paper,Table 1,https://openreview.net/pdf?id=1CLzLXSFNn
TimeMixer,Weather,0.240,0.271,published point estimate,TimeMixer++ ICLR 2025 paper,Table 1,https://openreview.net/pdf?id=1CLzLXSFNn
TimeMixer,Solar-Energy,0.216,0.280,published point estimate,TimeMixer++ ICLR 2025 paper,Table 1,https://openreview.net/pdf?id=1CLzLXSFNn
iTransformer,Electricity,0.178,0.270,published point estimate,TimeMixer++ ICLR 2025 paper,Table 1,https://openreview.net/pdf?id=1CLzLXSFNn
iTransformer,ETT average,0.383,0.377,published point estimate,TimeMixer++ ICLR 2025 paper,Table 1,https://openreview.net/pdf?id=1CLzLXSFNn
iTransformer,Exchange,0.378,0.360,published point estimate,TimeMixer++ ICLR 2025 paper,Table 1,https://openreview.net/pdf?id=1CLzLXSFNn
iTransformer,Traffic,0.428,0.282,published point estimate,TimeMixer++ ICLR 2025 paper,Table 1,https://openreview.net/pdf?id=1CLzLXSFNn
iTransformer,Weather,0.258,0.278,published point estimate,TimeMixer++ ICLR 2025 paper,Table 1,https://openreview.net/pdf?id=1CLzLXSFNn
iTransformer,Solar-Energy,0.233,0.262,published point estimate,TimeMixer++ ICLR 2025 paper,Table 1,https://openreview.net/pdf?id=1CLzLXSFNn
PatchTST,Electricity,0.205,0.290,published point estimate,TimeMixer++ ICLR 2025 paper,Table 1,https://openreview.net/pdf?id=1CLzLXSFNn
PatchTST,ETT average,0.381,0.397,published point estimate,TimeMixer++ ICLR 2025 paper,Table 1,https://openreview.net/pdf?id=1CLzLXSFNn
PatchTST,Exchange,0.403,0.404,published point estimate,TimeMixer++ ICLR 2025 paper,Table 1,https://openreview.net/pdf?id=1CLzLXSFNn
PatchTST,Traffic,0.481,0.304,published point estimate,TimeMixer++ ICLR 2025 paper,Table 1,https://openreview.net/pdf?id=1CLzLXSFNn
PatchTST,Weather,0.259,0.281,published point estimate,TimeMixer++ ICLR 2025 paper,Table 1,https://openreview.net/pdf?id=1CLzLXSFNn
PatchTST,Solar-Energy,0.270,0.307,published point estimate,TimeMixer++ ICLR 2025 paper,Table 1,https://openreview.net/pdf?id=1CLzLXSFNn
Crossformer,Electricity,0.244,0.334,published point estimate,TimeMixer++ ICLR 2025 paper,Table 1,https://openreview.net/pdf?id=1CLzLXSFNn
Crossformer,ETT average,0.685,0.578,published point estimate,TimeMixer++ ICLR 2025 paper,Table 1,https://openreview.net/pdf?id=1CLzLXSFNn
Crossformer,Exchange,0.940,0.707,published point estimate,TimeMixer++ ICLR 2025 paper,Table 1,https://openreview.net/pdf?id=1CLzLXSFNn
Crossformer,Traffic,0.550,0.304,published point estimate,TimeMixer++ ICLR 2025 paper,Table 1,https://openreview.net/pdf?id=1CLzLXSFNn
Crossformer,Weather,0.259,0.315,published point estimate,TimeMixer++ ICLR 2025 paper,Table 1,https://openreview.net/pdf?id=1CLzLXSFNn
Crossformer,Solar-Energy,0.641,0.639,published point estimate,TimeMixer++ ICLR 2025 paper,Table 1,https://openreview.net/pdf?id=1CLzLXSFNn
TiDE,Electricity,0.251,0.344,published point estimate,TimeMixer++ ICLR 2025 paper,Table 1,https://openreview.net/pdf?id=1CLzLXSFNn
TiDE,ETT average,0.482,0.470,published point estimate,TimeMixer++ ICLR 2025 paper,Table 1,https://openreview.net/pdf?id=1CLzLXSFNn
TiDE,Exchange,0.370,0.413,published point estimate,TimeMixer++ ICLR 2025 paper,Table 1,https://openreview.net/pdf?id=1CLzLXSFNn
TiDE,Traffic,0.760,0.473,published point estimate,TimeMixer++ ICLR 2025 paper,Table 1,https://openreview.net/pdf?id=1CLzLXSFNn
TiDE,Weather,0.271,0.320,published point estimate,TimeMixer++ ICLR 2025 paper,Table 1,https://openreview.net/pdf?id=1CLzLXSFNn
TiDE,Solar-Energy,0.347,0.417,published point estimate,TimeMixer++ ICLR 2025 paper,Table 1,https://openreview.net/pdf?id=1CLzLXSFNn
TimesNet,Electricity,0.192,0.295,published point estimate,TimeMixer++ ICLR 2025 paper,Table 1,https://openreview.net/pdf?id=1CLzLXSFNn
TimesNet,ETT average,0.391,0.404,published point estimate,TimeMixer++ ICLR 2025 paper,Table 1,https://openreview.net/pdf?id=1CLzLXSFNn
TimesNet,Exchange,0.416,0.443,published point estimate,TimeMixer++ ICLR 2025 paper,Table 1,https://openreview.net/pdf?id=1CLzLXSFNn
TimesNet,Traffic,0.620,0.336,published point estimate,TimeMixer++ ICLR 2025 paper,Table 1,https://openreview.net/pdf?id=1CLzLXSFNn
TimesNet,Weather,0.259,0.287,published point estimate,TimeMixer++ ICLR 2025 paper,Table 1,https://openreview.net/pdf?id=1CLzLXSFNn
TimesNet,Solar-Energy,0.301,0.319,published point estimate,TimeMixer++ ICLR 2025 paper,Table 1,https://openreview.net/pdf?id=1CLzLXSFNn
DLinear,Electricity,0.212,0.300,published point estimate,TimeMixer++ ICLR 2025 paper,Table 1,https://openreview.net/pdf?id=1CLzLXSFNn
DLinear,ETT average,0.442,0.444,published point estimate,TimeMixer++ ICLR 2025 paper,Table 1,https://openreview.net/pdf?id=1CLzLXSFNn
DLinear,Exchange,0.354,0.414,published point estimate,TimeMixer++ ICLR 2025 paper,Table 1,https://openreview.net/pdf?id=1CLzLXSFNn
DLinear,Traffic,0.625,0.383,published point estimate,TimeMixer++ ICLR 2025 paper,Table 1,https://openreview.net/pdf?id=1CLzLXSFNn
DLinear,Weather,0.265,0.317,published point estimate,TimeMixer++ ICLR 2025 paper,Table 1,https://openreview.net/pdf?id=1CLzLXSFNn
DLinear,Solar-Energy,0.330,0.401,published point estimate,TimeMixer++ ICLR 2025 paper,Table 1,https://openreview.net/pdf?id=1CLzLXSFNn
SCINet,Electricity,0.268,0.365,published point estimate,TimeMixer++ ICLR 2025 paper,Table 1,https://openreview.net/pdf?id=1CLzLXSFNn
SCINet,ETT average,0.689,0.597,published point estimate,TimeMixer++ ICLR 2025 paper,Table 1,https://openreview.net/pdf?id=1CLzLXSFNn
SCINet,Exchange,0.750,0.626,published point estimate,TimeMixer++ ICLR 2025 paper,Table 1,https://openreview.net/pdf?id=1CLzLXSFNn
SCINet,Traffic,0.804,0.509,published point estimate,TimeMixer++ ICLR 2025 paper,Table 1,https://openreview.net/pdf?id=1CLzLXSFNn
SCINet,Weather,0.292,0.363,published point estimate,TimeMixer++ ICLR 2025 paper,Table 1,https://openreview.net/pdf?id=1CLzLXSFNn
SCINet,Solar-Energy,0.282,0.375,published point estimate,TimeMixer++ ICLR 2025 paper,Table 1,https://openreview.net/pdf?id=1CLzLXSFNn
FEDformer,Electricity,0.214,0.327,published point estimate,TimeMixer++ ICLR 2025 paper,Table 1,https://openreview.net/pdf?id=1CLzLXSFNn
