date,0,1,2,3,4,5
2016/7/1 2:00,14,69,234,415,215,1056
2016/7/1 3:00,18,92,312,556,292,1363
2016/7/1 4:00,21,96,312,560,272,1240
2016/7/1 5:00,20,92,312,443,213,845
2016/7/1 6:00,22,91,312,346,190,647
2016/7/1 7:00,20,92,187,340,178,641
2016/7/1 8:00,20,91,138,376,199,719
2016/7/1 9:00,20,92,8,361,187,662
2016/7/1 10:00,13,91,7,259,144,552
2016/7/1 11:00,11,96,8,402,172,698
2016/7/1 12:00,64,113,13,446,191,1023
2016/7/1 13:00,53,142,11,551,200,1410
2016/7/1 14:00,26,158,11,532,236,1449
2016/7/1 15:00,10,147,13,364,187,1067
2016/7/1 16:00,28,122,17,294,197,1010
2016/7/1 17:00,61,112,16,298,174,963
2016/7/1 18:00,12,109,15,358,194,910
2016/7/1 19:00,33,108,15,419,199,1037
2016/7/1 20:00,74,107,17,584,282,1261
2016/7/1 21:00,22,107,25,722,311,1276
2016/7/1 22:00,19,113,20,788,332,1273
2016/7/1 23:00,74,113,20,766,338,1318
2016/7/2 0:00,60,104,13,684,336,1231
2016/7/2 1:00,46,99,11,576,296,1075
2016/7/2 2:00,16,95,10,462,272,863
2016/7/2 3:00,16,92,12,402,252,821
2016/7/2 4:00,19,89,11,376,240,686
2016/7/2 5:00,16,88,193,298,199,528
2016/7/2 6:00,18,90,11,253,184,505
2016/7/2 7:00,16,91,9,249,190,545
2016/7/2 8:00,15,93,10,354,225,644
2016/7/2 9:00,14,109,9,450,221,755
2016/7/2 10:00,43,117,10,410,167,797
2016/7/2 11:00,70,116,15,430,171,782
2016/7/2 12:00,67,125,15,410,214,887
2016/7/2 13:00,68,125,16,492,215,1052
2016/7/2 14:00,95,125,16,556,196,1064
2016/7/2 15:00,66,120,16,438,198,1023
2016/7/2 16:00,88,121,15,434,231,961
2016/7/2 17:00,67,118,16,400,258,902
2016/7/2 18:00,92,111,16,406,246,935
2016/7/2 19:00,51,106,16,566,314,1138
2016/7/2 20:00,49,114,16,791,408,1425
2016/7/2 21:00,16,128,19,908,431,1674
2016/7/2 22:00,28,135,22,880,386,1547
2016/7/2 23:00,62,119,20,866,369,1497
2016/7/3 0:00,18,108,20,800,342,1324
2016/7/3 1:00,57,100,11,703,326,1080
2016/7/3 2:00,18,95,10,551,278,857
2016/7/3 3:00,18,91,220,430,272,674
2016/7/3 4:00,17,88,147,376,261,614
2016/7/3 5:00,16,89,186,257,219,497
2016/7/3 6:00,15,89,22,233,205,450
2016/7/3 7:00,15,101,9,227,215,508
2016/7/3 8:00,14,136,11,330,256,614
2016/7/3 9:00,14,173,9,460,287,812
2016/7/3 10:00,67,169,9,430,215,1023
2016/7/3 11:00,68,163,8,400,191,1016
2016/7/3 12:00,66,163,8,376,193,896
2016/7/3 13:00,69,161,8,418,219,950
2016/7/3 14:00,71,153,9,376,241,999
2016/7/3 15:00,56,112,8,404,256,878
2016/7/3 16:00,33,111,12,366,224,950
2016/7/3 17:00,70,104,12,334,225,911
2016/7/3 18:00,102,102,12,368,243,893
2016/7/3 19:00,23,105,14,477,302,943
2016/7/3 20:00,67,115,16,760,386,1219
2016/7/3 21:00,47,137,17,898,409,1485
2016/7/3 22:00,29,139,20,898,364,1635
2016/7/3 23:00,74,120,19,904,338,1357
2016/7/4 0:00,56,112,15,882,363,1288
2016/7/4 1:00,56,100,9,691,337,996
2016/7/4 2:00,20,94,8,503,282,875
2016/7/4 3:00,24,90,11,426,271,710
2016/7/4 4:00,22,88,220,388,257,596
2016/7/4 5:00,20,89,212,298,222,494
2016/7/4 6:00,22,89,8,258,210,502
2016/7/4 7:00,17,90,8,266,222,517
2016/7/4 8:00,20,94,11,338,273,638
2016/7/4 9:00,18,132,7,440,279,905
2016/7/4 10:00,61,132,7,472,212,1020
2016/7/4 11:00,70,115,8,432,210,928
2016/7/4 12:00,90,112,9,330,239,905
2016/7/4 13:00,78,111,9,378,250,980
2016/7/4 14:00,69,110,9,404,244,945
2016/7/4 15:00,77,109,11,334,236,875
2016/7/4 16:00,36,108,9,350,243,960
2016/7/4 17:00,45,102,8,372,245,878
2016/7/4 18:00,49,100,8,374,231,827
2016/7/4 19:00,100,101,10,518,294,955
2016/7/4 20:00,81,112,13,851,396,1300
2016/7/4 21:00,41,126,16,940,409,1547
2016/7/4 22:00,27,136,20,906,349,1614
2016/7/4 23:00,63,120,121,832,368,1351
2016/7/5 0:00,55,109,332,727,401,1339
2016/7/5 1:00,46,98,327,608,358,1189
2016/7/5 2:00,32,92,326,510,307,886
2016/7/5 3:00,58,88,328,436,289,680
2016/7/5 4:00,27,89,327,390,254,599
2016/7/5 5:00,73,89,328,280,218,503
2016/7/5 6:00,74,89,324,247,202,471
2016/7/5 7:00,71,90,324,253,220,537
2016/7/5 8:00,56,95,325,348,268,662
2016/7/5 9:00,55,137,324,471,273,818
2016/7/5 10:00,47,136,323,469,219,946
2016/7/5 11:00,108,122,294,525,186,923
2016/7/5 12:00,76,112,19,436,157,884
2016/7/5 13:00,18,138,55,390,177,872
2016/7/5 14:00,15,127,8,416,186,993
2016/7/5 15:00,63,131,8,414,179,887
2016/7/5 16:00,67,124,8,364,191,830
2016/7/5 17:00,32,112,60,316,199,794
2016/7/5 18:00,66,111,261,338,206,818
2016/7/5 19:00,66,111,271,443,279,800
2016/7/5 20:00,32,123,12,795,417,1031
2016/7/5 21:00,61,128,12,940,447,1261
2016/7/5 22:00,74,135,16,793,380,1425
2016/7/5 23:00,77,114,16,789,382,1309
2016/7/6 0:00,79,107,15,722,416,1282
2016/7/6 1:00,68,100,12,650,376,1052
2016/7/6 2:00,22,92,11,517,304,851
2016/7/6 3:00,24,89,11,462,255,725
2016/7/6 4:00,23,89,12,386,252,608
2016/7/6 5:00,78,88,12,292,209,542
2016/7/6 6:00,38,90,12,252,199,521
2016/7/6 7:00,63,91,9,274,211,533
2016/7/6 8:00,76,95,12,352,247,653
2016/7/6 9:00,50,138,7,448,272,845
2016/7/6 10:00,13,139,7,460,227,949
2016/7/6 11:00,60,120,8,420,242,908
2016/7/6 12:00,66,118,12,348,240,1026
2016/7/6 13:00,90,113,12,314,211,1072
2016/7/6 14:00,66,113,8,468,214,1093
2016/7/6 15:00,67,113,10,350,187,904
2016/7/6 16:00,95,108,9,314,192,992
2016/7/6 17:00,70,100,11,328,207,821
2016/7/6 18:00,68,106,11,336,201,863
2016/7/6 19:00,91,106,15,498,233,875
2016/7/6 20:00,32,112,12,708,375,1330
2016/7/6 21:00,56,114,12,836,387,1501
2016/7/6 22:00,73,122,19,930,415,1294
2016/7/6 23:00,50,112,16,824,359,1198
2016/7/7 0:00,49,104,16,746,357,1117
2016/7/7 1:00,65,98,11,594,323,1081
2016/7/7 2:00,20,93,9,527,315,987
2016/7/7 3:00,18,90,8,446,266,845
2016/7/7 4:00,20,91,11,392,231,692
2016/7/7 5:00,18,90,12,270,183,523
2016/7/7 6:00,18,89,102,247,167,462
2016/7/7 7:00,20,90,317,249,176,514
2016/7/7 8:00,15,92,284,326,210,596
2016/7/7 9:00,15,92,11,408,207,695
2016/7/7 10:00,61,103,10,449,169,656
2016/7/7 11:00,67,128,12,481,215,848
2016/7/7 12:00,67,144,12,519,229,923
2016/7/7 13:00,67,159,12,555,232,972
2016/7/7 14:00,78,161,14,549,232,1153
2016/7/7 15:00,58,153,12,481,212,937
2016/7/7 16:00,18,143,12,464,229,968
2016/7/7 17:00,70,128,12,518,249,957
2016/7/7 18:00,70,122,203,510,255,854
2016/7/7 19:00,70,117,324,636,297,934
2016/7/7 20:00,100,122,324,858,419,1291
2016/7/7 21:00,76,120,331,991,368,1378
2016/7/7 22:00,75,117,101,884,342,1252
2016/7/7 23:00,52,106,12,742,342,1264
2016/7/8 0:00,58,102,13,678,341,1186
2016/7/8 1:00,61,99,8,632,333,1048
2016/7/8 2:00,24,95,8,634,301,923
2016/7/8 3:00,22,91,8,492,261,839
2016/7/8 4:00,22,89,8,416,252,764
2016/7/8 5:00,20,88,8,310,185,567
2016/7/8 6:00,22,90,8,258,164,482
2016/7/8 7:00,22,90,8,259,171,482
2016/7/8 8:00,22,90,8,346,205,575
2016/7/8 9:00,21,91,8,412,190,659
2016/7/8 10:00,59,96,14,406,152,593
2016/7/8 11:00,61,124,12,490,169,800
2016/7/8 12:00,79,146,15,560,205,911
2016/7/8 13:00,66,159,12,560,199,976
2016/7/8 14:00,67,160,12,578,236,1055
2016/7/8 15:00,50,155,12,471,219,1028
2016/7/8 16:00,12,132,12,440,209,857
2016/7/8 17:00,54,119,12,420,217,656
2016/7/8 18:00,95,120,12,408,205,653
2016/7/8 19:00,73,111,12,486,198,725
2016/7/8 20:00,22,113,12,658,289,1010
2016/7/8 21:00,59,118,12,757,313,1189
2016/7/8 22:00,76,127,13,860,305,1273
2016/7/8 23:00,56,113,14,792,325,1234
2016/7/9 0:00,66,104,12,750,330,1198
2016/7/9 1:00,52,95,12,608,273,899
2016/7/9 2:00,20,93,8,455,228,746
2016/7/9 3:00,23,89,8,356,212,644
2016/7/9 4:00,20,88,46,352,220,617
2016/7/9 5:00,22,90,317,253,178,491
2016/7/9 6:00,22,91,314,220,155,450
2016/7/9 7:00,22,90,8,233,174,449
2016/7/9 8:00,22,95,8,318,210,554
2016/7/9 9:00,20,140,8,400,239,845
2016/7/9 10:00,64,137,9,410,198,911
2016/7/9 11:00,71,115,12,432,202,884
2016/7/9 12:00,95,118,12,432,229,887
2016/7/9 13:00,67,113,12,380,228,952
2016/7/9 14:00,67,118,11,374,235,911
2016/7/9 15:00,68,119,12,295,227,794
2016/7/9 16:00,81,116,12,264,232,806
2016/7/9 17:00,46,109,221,265,256,731
2016/7/9 18:00,13,107,325,276,258,779
2016/7/9 19:00,69,107,324,384,247,877
2016/7/9 20:00,103,117,327,724,340,1434
2016/7/9 21:00,78,128,331,880,367,1581
2016/7/9 22:00,58,133,163,878,345,1470
2016/7/9 23:00,37,121,97,825,358,1449
2016/7/10 0:00,74,110,326,749,359,1342
2016/7/10 1:00,53,98,324,582,328,979
2016/7/10 2:00,22,92,321,467,263,872
2016/7/10 3:00,22,89,320,414,250,785
2016/7/10 4:00,23,88,120,404,262,674
2016/7/10 5:00,22,89,10,293,221,522
2016/7/10 6:00,22,89,10,251,195,495
2016/7/10 7:00,22,90,12,278,224,529
2016/7/10 8:00,24,95,11,342,260,656
2016/7/10 9:00,20,142,12,457,269,893
2016/7/10 10:00,48,137,35,466,202,954
2016/7/10 11:00,78,118,320,362,194,875
2016/7/10 12:00,74,115,320,300,195,1014
2016/7/10 13:00,97,113,236,296,197,1005
2016/7/10 14:00,74,52,14,356,211,928
2016/7/10 15:00,72,47,15,314,202,946
2016/7/10 16:00,94,42,14,298,221,974
2016/7/10 17:00,74,42,14,248,223,824
2016/7/10 18:00,67,99,16,256,229,851
2016/7/10 19:00,71,104,18,391,267,970
2016/7/10 20:00,18,115,15,704,395,1372
2016/7/10 21:00,62,132,16,913,417,1621
2016/7/10 22:00,71,139,16,895,415,1725
2016/7/10 23:00,60,125,193,832,395,1513
2016/7/11 0:00,18,112,329,733,376,1285
2016/7/11 1:00,65,100,125,664,344,1011
2016/7/11 2:00,71,93,10,572,312,836
2016/7/11 3:00,67,89,9,418,292,791
2016/7/11 4:00,16,90,240,410,283,713
2016/7/11 5:00,66,89,25,267,246,557
2016/7/11 6:00,78,90,12,226,225,477
2016/7/11 7:00,30,92,9,247,239,545
2016/7/11 8:00,40,95,12,332,281,644
2016/7/11 9:00,69,142,10,446,295,907
2016/7/11 10:00,40,157,8,440,191,996
2016/7/11 11:00,133,89,13,352,190,908
2016/7/11 12:00,77,72,8,314,220,930
2016/7/11 13:00,42,72,8,314,225,863
2016/7/11 14:00,74,72,8,332,251,1004
2016/7/11 15:00,71,72,8,334,238,1096
2016/7/11 16:00,64,72,12,286,242,874
2016/7/11 17:00,44,72,12,284,241,818
2016/7/11 18:00,69,89,13,296,243,851
2016/7/11 19:00,101,207,13,392,295,937
2016/7/11 20:00,74,141,16,646,403,1378
2016/7/11 21:00,72,134,16,752,438,1603
2016/7/11 22:00,76,144,16,858,432,1547
2016/7/11 23:00,76,124,16,806,369,1474
2016/7/12 0:00,74,113,14,801,357,1327
2016/7/12 1:00,56,99,11,654,308,1076
2016/7/12 2:00,20,92,11,517,294,863
2016/7/12 3:00,23,90,12,426,284,794
2016/7/12 4:00,20,89,271,426,281,707
2016/7/12 5:00,20,87,324,306,225,554
2016/7/12 6:00,20,89,324,266,217,536
2016/7/12 7:00,22,91,324,267,243,505
2016/7/12 8:00,22,95,324,352,269,626
2016/7/12 9:00,22,138,283,455,287,954
2016/7/12 10:00,67,145,9,426,217,996
2016/7/12 11:00,100,118,15,408,194,981
2016/7/12 12:00,67,123,14,324,219,1023
2016/7/12 13:00,66,114,12,336,233,1090
2016/7/12 14:00,67,112,14,434,232,1064
2016/7/12 15:00,87,110,12,326,232,1007
2016/7/12 16:00,65,109,13,316,212,1081
2016/7/12 17:00,71,101,133,267,210,860
2016/7/12 18:00,92,102,330,338,229,821
2016/7/12 19:00,74,101,328,440,271,988
2016/7/12 20:00,35,108,328,767,385,1399
2016/7/12 21:00,73,123,118,910,440,1617
2016/7/12 22:00,76,133,20,896,388,1674
2016/7/12 23:00,37,123,16,846,354,1662
2016/7/13 0:00,76,110,15,701,367,1602
2016/7/13 1:00,64,96,10,572,328,1231
2016/7/13 2:00,21,92,10,502,283,910
2016/7/13 3:00,70,89,10,412,269,818
2016/7/13 4:00,61,87,162,406,264,734
2016/7/13 5:00,18,88,321,282,233,590
2016/7/13 6:00,35,89,323,232,204,539
2016/7/13 7:00,70,91,320,264,225,554
2016/7/13 8:00,71,94,324,340,247,716
2016/7/13 9:00,58,136,164,436,274,996
2016/7/13 10:00,12,134,10,448,207,1043
2016/7/13 11:00,81,118,13,360,224,1001
2016/7/13 12:00,68,116,14,340,249,1084
2016/7/13 13:00,66,122,18,358,224,1198
2016/7/13 14:00,68,114,14,366,216,1171
2016/7/13 15:00,79,117,13,356,197,1063
2016/7/13 16:00,22,112,13,356,217,1037
2016/7/13 17:00,37,106,12,280,203,965
2016/7/13 18:00,70,102,17,358,206,875
2016/7/13 19:00,98,110,21,498,215,916
2016/7/13 20:00,40,112,16,778,320,1318
2016/7/13 21:00,74,118,16,892,407,1605
2016/7/13 22:00,72,123,16,972,408,1560
2016/7/13 23:00,41,113,16,898,411,1449
2016/7/14 0:00,72,105,16,760,361,1303
2016/7/14 1:00,45,98,9,622,350,1195
2016/7/14 2:00,20,92,9,534,323,866
2016/7/14 3:00,18,91,11,466,283,746
2016/7/14 4:00,20,88,174,382,270,689
2016/7/14 5:00,20,87,325,266,219,530
2016/7/14 6:00,20,90,324,230,209,478
2016/7/14 7:00,20,90,324,239,217,517
2016/7/14 8:00,18,91,324,314,247,566
2016/7/14 9:00,20,95,324,370,235,650
2016/7/14 10:00,52,103,325,402,207,617
2016/7/14 11:00,74,124,328,553,226,946
2016/7/14 12:00,78,146,162,558,215,1038
2016/7/14 13:00,101,157,12,552,265,1171
2016/7/14 14:00,73,150,13,626,262,1315
2016/7/14 15:00,73,149,12,679,262,1178
2016/7/14 16:00,98,134,13,517,265,1084
2016/7/14 17:00,71,124,12,606,288,1153
2016/7/14 18:00,90,118,110,666,277,1183
2016/7/14 19:00,84,114,228,698,289,1240
2016/7/14 20:00,76,115,16,931,383,1446
2016/7/14 21:00,74,118,16,1150,401,1677
2016/7/14 22:00,76,117,16,1041,439,1566
2016/7/14 23:00,76,108,16,930,381,1540
2016/7/15 0:00,51,101,296,799,346,1445
2016/7/15 1:00,22,96,191,710,375,1216
2016/7/15 2:00,20,93,11,596,333,999
2016/7/15 3:00,22,91,9,525,295,812
2016/7/15 4:00,23,89,235,432,278,683
