POWER_5,POWER_6,POWER_11,POWER_12,POWER_21,POWER_22,POWER_23,POWER_24,POWER_43,POWER_44,POWER_45,POWER_46
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0.85,0,0
5.7,0.45,0.05,0,0.05,0.4,0,0,0,0,0.5,0.05
11.4,2.55,0.35,0,1.25,0,0.05,0,0.5,9.2,2.55,0.55
15.8,4.1,1.2,0,4.5,7.2,0,0,2.6,3.95,4.3,2.2
21.5,5.4,2.15,0.05,5.45,11.05,0.25,0,4.35,0,5.55,2.45
26.85,6.65,2.75,0.15,5.9,6.3,1.15,0.1,5.5,0,6.4,3.45
26.3,7.7,2.55,0.35,7.75,12.6,7.2,0.2,6.45,7.1,6.85,4.6
19.35,8.55,1.6,1.6,9.1,13,0.7,0.4,5.6,16.6,6,5.65
12.45,9.15,2.6,3.5,9.75,12.75,1.1,1.5,4.75,17.55,5.95,6.25
4,9.75,3.35,5.7,10.05,11.1,3.6,3.45,4.7,16.2,5.7,6.8
17.2,10.3,3.85,7,10.3,9.85,6.1,4.8,4.85,13.55,5.15,7.05
21.65,10.7,4.45,8.1,10.5,7.65,10.05,5.95,6.75,8.45,4.4,7.35
16.2,11.1,4.45,9,10.05,4.4,10.65,7.05,8.45,6.25,5.7,7.3
13.15,11.35,4.8,10.3,9.45,2.35,8.65,7.5,11.75,7.2,9.4,8.35
14.4,11.15,4,11.05,9,3.25,7.9,8.25,13,6.5,9.45,6.85
17.8,10.3,3.45,10.9,8.75,2.4,6.75,9.15,13.4,5.15,8.95,7.05
20.7,8.5,2.7,10.05,8.55,1.95,3.25,9.55,13.2,2.4,8.9,7.15
20.5,6,1.55,9.35,8.2,2.3,1.8,10.75,13.25,1.35,8.25,9.35
19.5,3.5,0.85,8.5,7.85,1.95,1.1,11.7,12.65,2.15,6.65,11.1
15.35,3.7,1.4,7.5,6.9,3.65,2.4,12.35,10.45,4.8,4.2,12.8
13.35,3.55,1.95,7.1,6.1,3.75,2.3,11.75,9.25,4.5,2.4,13.2
13.3,3.75,2.3,7.5,5.2,2.55,3.7,10.3,8.3,3.9,1.45,12.6
13.65,3.95,2.15,8.15,4.7,1.4,7.05,7.95,7,3.05,1.4,10.7
12.6,3.85,2.3,8.05,4.25,3.3,8.05,6.45,6.2,2.85,1.7,9.25
12,1.4,2.6,7.7,3.85,4,8.6,5.35,5.65,4.15,1.05,7.7
17.1,1.2,2.55,5.9,4.1,5.2,7.95,6,5,4.3,2.95,4.8
21.8,1.4,1.95,5.55,4.9,5.45,8.5,6.25,4.85,5.45,4.2,4.45
28.2,1.6,0.3,6.5,5.85,5.6,8.9,7.3,5.45,5.25,5.5,4.7
33.35,2,0.1,7.6,7,5.2,8.7,10.8,5.65,4.8,7,5.15
38.8,2.05,0.05,8,8.6,4.85,9.3,12.85,5.6,4.5,8.35,5.95
38.65,2.05,0.2,7.1,10.35,4.35,9.65,12.95,5.5,2.7,8.9,6.15
14.8,2.6,0.55,5.5,12.35,1.1,9.85,12.8,4.9,1.95,8.3,5.65
22.9,4.3,2,4.95,12.7,0.35,11.75,11.9,5.95,2.05,8.05,6.05
35.3,6.4,1.8,5.2,9.6,0.3,17.2,10.45,7.15,2.25,7.5,6.1
28.6,8.2,0.4,5.85,6.75,0.5,18.15,9.1,7.05,2.2,6.55,6
20.8,9.4,0.5,5,7.85,0.6,24.7,7.55,5.45,2.7,5,6.2
12.8,9,0.6,5.25,10.25,2.65,17.75,6.25,5.25,1.75,4.85,6.2
11.2,6.6,0.6,5.75,8.9,0.95,12.8,5.6,3.25,1.1,4.75,5.75
7.2,4.85,1.15,5.4,7.9,0.7,10.65,5,1.55,1.5,4.05,5.65
2.45,4,1.65,4.8,6.8,0.3,8.5,4.45,1.95,1.35,3.15,5.65
2.95,3.3,1.55,4.15,5.85,0.35,5.8,3.8,3.55,1.05,2.7,5.55
0.4,1.8,0.9,3.55,4.95,0.25,3.6,1.8,3.95,1.45,1.3,5.3
0.7,1.75,0.9,3.45,4.35,0.15,1.35,2.9,4.4,1.35,0.75,5.1
5.2,3.55,3.95,4.55,4.05,0.1,1.55,4.4,5.7,2.45,1.8,4.45
6.15,4.35,4.05,4.6,3.85,0.1,9.9,4.65,5.75,5.3,5.45,3.9
4.85,2.45,3.6,4.3,3.85,0.1,6.55,4.85,5.1,8.9,7.1,3.4
1.75,0.6,3.35,4,4.25,0.1,1,5.1,4.5,13.25,8.6,2.25
1.5,0.35,4.6,3.45,4.8,0.1,0,4.9,3.45,16.6,8.2,1.3
0.9,0.15,4.8,1.6,5.1,0.05,0.05,4.35,4.4,17.8,8.7,0.65
4.8,0.1,4.65,0.3,4.45,0.05,0.2,3.05,3.55,13.85,7.75,0.15
7.45,0.1,3.25,0.1,3,0.05,4.45,1.25,1.7,12.45,6.45,0.1
0.25,0.1,1.95,0.05,0.85,0,7.8,0.45,0.45,5.9,4.9,0.05
0,0,0.15,0,0.2,0,5.75,0.15,0.1,7.7,3.1,0
0,0,0,0,0,0,0.3,0.05,0,4.95,0.55,0
0,0,0,0,0,0,0.05,0,0,0.05,0,0
0,0,0,0,0,0,1.25,0,0,0,2.75,0
0,0,0,0,0,0,0.2,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0.05,0,0,0,0,0,0.05,0,0,0,0.3,0
2.6,0.35,0,0.1,0,0,2.65,0.05,0,0,2.95,0.05
11,2.35,0,1.15,0.25,0.8,8.7,0.85,0.2,0.05,4.55,0.35
10.2,4,0,2.75,2.65,9.25,11.9,3.35,1,0.45,6.1,0.25
10.95,5.25,0,4.4,5.15,5.95,15.1,4.95,3.1,1.7,7.6,0.05
19.9,6.55,0,5.1,5.1,12,18.5,6.35,4.5,2.45,8.85,0.45
21.45,7.65,0.05,6.95,5.4,11.8,21.65,7.55,5.65,2,8.05,1.35
29.8,7.6,0.25,6.4,5.65,6.75,24.75,5.9,5.15,0.8,5.45,3.65
24.75,6.75,0.65,7.8,3.25,7.1,27.4,5.6,3.95,1.05,8.4,3.35
18.6,5.65,0.75,7.6,1.1,4.4,30.25,4.2,4.25,1.35,5.4,1.35
12.75,4.75,0.5,8,0.85,5.65,32.95,5.65,5.25,2,10.3,2.2
5.25,2.75,0.45,8.45,0.4,9,36.2,4.5,5.5,2.75,6.95,4.15
0.75,0.25,0.35,8.6,0.7,9.1,37.2,8.35,9.6,2.1,9.05,5.1
2.45,0.5,0.3,5.45,2.65,8.15,26.1,11.35,8.7,0.35,6.55,5.95
7.95,1,0.1,5,4.05,7.85,32.4,12.65,10.2,1.05,6.75,7.55
17.65,1.85,0,6.7,5.45,8.8,48.35,12.6,13.4,1.2,5.85,9.5
24.6,1.8,0,9.2,7.6,9.3,49.55,15.35,14.25,1.05,5.25,9.85
26.65,2.35,0.05,11.25,6.55,7.45,49.95,14.3,15.95,1.3,3.75,8.35
28.45,1.65,0.3,14.25,7,14.3,45.75,13.85,16.8,1.45,4.95,7
28.55,0.95,1.95,15.15,7.45,14.2,36.25,12.65,13,1.85,7.6,8.7
27.45,0.8,2.9,15.75,13.7,14.65,34.05,12.35,10.75,1.2,6.4,9.25
25.75,0.8,4.35,16.35,10.65,14.5,48.8,12.3,8.8,1.15,1.25,6.7
22.55,0.8,6.25,16.7,6.95,19.6,25,12.7,8,1.85,5.65,6.8
21.65,0.8,7.5,17.2,7.15,14.55,28.45,13.3,12,1.45,7.2,9.55
21.3,1.3,7.85,17.75,8.4,11.75,51.3,12.45,11.4,4.25,11.05,9.45
16.8,5.9,7.15,18.55,15.9,16.55,50,13.4,10.25,14.65,13.2,12.35
13.25,8.85,6.15,18.6,19.65,13.55,49.45,16.3,16.55,9.6,12.45,13.9
13.95,10.55,5.7,18.25,21.55,15.35,53.55,17.45,18.95,4.3,4.05,14.25
14.45,10.75,5,17.45,22.4,15.1,53.3,20.9,18.75,7.45,1.85,12.15
15.1,8.95,4.45,16.65,22.65,16.75,55.85,18.3,17.65,15.7,4.9,13.05
17.9,9.05,3.85,16.35,21.65,14.9,54.95,16.15,15,10.65,7.2,12.85
23.15,10.15,2.3,17.65,21.25,12.35,53.05,19.4,18.55,12.3,4.5,11.45
33.15,13.05,0.05,18.55,20.8,13.8,52.85,20.85,20.25,12.45,7.15,8.9
39.15,13.85,0.1,18.85,20.45,15.3,52.35,21.25,20.85,12.6,9.2,11.95
44.3,17.05,1,18.5,20.1,16.75,51.35,21.3,20.9,13.1,10.85,14.1
50.35,11.6,2.05,17.95,19.55,18.35,49.95,21.65,20.8,13.05,12.05,11.8
55.1,6.35,2,17.3,19.25,19.45,48.45,21.75,20.35,11.7,13.35,12.4
59.15,4.45,1.95,16.9,19.45,19.15,48,20.5,19.35,10.9,14.45,12
55.35,6.05,3.05,16.9,19.3,18.65,46.65,18.15,18.55,12.35,14.5,11.25
56,2.95,5.45,17.15,18.65,17.85,46.15,14.6,18,11.4,14.6,11.25
48,0.6,6.9,17.15,17.9,17.4,45.35,15.95,17.55,11.25,14.9,11.25
39.3,0.45,7.7,17.35,17.25,17.1,43.75,15.5,16.8,11.4,14.95,11.2
38.65,1.55,8.7,17.2,16.65,17.55,42.6,16.55,16,13.2,15.05,10.9
44.05,6.7,9.25,16.35,16.05,16.85,39.95,16.05,15.25,15.25,15,10.05
40.4,9.25,8.6,15.25,15.35,15.3,38.2,15.2,14.55,18.8,14.9,9.75
36.25,8.35,8.15,14.3,14.35,13,35.5,13.9,13.85,16.2,13.8,8.95
32.75,9.2,7.6,13.1,13.25,11.5,33.3,12.7,12.9,15.6,13.4,7.7
29.65,6.4,6.95,11.9,11.85,10.3,30.7,11.4,11.65,14.45,12.85,7.45
26.9,5.05,6.2,10.6,10.35,8.6,28.55,10.2,10.2,21.85,12.95,6.65
