date,0,1,2,3,4,5
2016/7/1 2:00,0.0048,0.0146,0.0289,0.0142,0.0064,0.0232
2016/7/1 3:00,0.0072,0.0148,0.035,0.0174,0.0084,0.024
2016/7/1 4:00,0.004,0.0101,0.0267,0.0124,0.0049,0.017
2016/7/1 5:00,0.0039,0.006,0.0218,0.009,0.0029,0.0118
2016/7/1 6:00,0.0042,0.0055,0.0191,0.0082,0.0024,0.0095
2016/7/1 7:00,0.004,0.0071,0.0213,0.0106,0.0038,0.0093
2016/7/1 8:00,0.0044,0.0089,0.0259,0.0137,0.0073,0.0105
2016/7/1 9:00,0.0042,0.01,0.0249,0.0155,0.0049,0.0132
2016/7/1 10:00,0.0086,0.0123,0.0288,0.0181,0.006,0.0158
2016/7/1 11:00,0.0223,0.0177,0.0359,0.0245,0.0084,0.0193
2016/7/1 12:00,0.0327,0.0236,0.0465,0.0375,0.0106,0.0276
2016/7/1 13:00,0.0409,0.0298,0.0535,0.0448,0.0127,0.0331
2016/7/1 14:00,0.0451,0.0329,0.0605,0.0507,0.0153,0.0353
2016/7/1 15:00,0.0462,0.0335,0.0654,0.0538,0.0173,0.04
2016/7/1 16:00,0.0498,0.0361,0.0681,0.0531,0.0162,0.042
2016/7/1 17:00,0.0437,0.0325,0.0686,0.0438,0.0165,0.0413
2016/7/1 18:00,0.0437,0,0.0889,0,0.0151,0.0068
2016/7/1 19:00,0.0407,0,0.1354,0,0.0135,0.0068
2016/7/1 20:00,0.0377,0,0.0529,0,0.0133,0.0068
2016/7/1 21:00,0.0295,0,0.0445,0,0.0105,0.0068
2016/7/1 22:00,0.0259,0,0.0403,0,0.0101,0.0068
2016/7/1 23:00,0.0136,0,0.0357,0,0.0084,0.0068
2016/7/2 0:00,0.0082,0,0.0282,0,0.0072,0.0068
2016/7/2 1:00,0.0039,0,0.0183,0,0.0043,0.0068
2016/7/2 2:00,0.0039,0,0.0124,0,0.002,0.0068
2016/7/2 3:00,0.004,0,0.0112,0,0.0018,0.0068
2016/7/2 4:00,0.0038,0,0.012,0,0.0012,0.0068
2016/7/2 5:00,0.0037,0,0.0123,0,0.0026,0.0068
2016/7/2 6:00,0.0041,0,0.0215,0,0.0049,0.0068
2016/7/2 7:00,0.0226,0,0.0411,0,0.0179,0.0068
2016/7/2 8:00,0.0429,0,0.0591,0,0.0314,0.0068
2016/7/2 9:00,0.0422,0,0.0598,0,0.0372,0.0068
2016/7/2 10:00,0.0453,0,0.0677,0,0.034,0.0068
2016/7/2 11:00,0.0549,0,0.0682,0,0.0319,0.0068
2016/7/2 12:00,0.0577,0,0.0754,0,0.0287,0.0068
2016/7/2 13:00,0.0614,0.0485,0.0902,0.0681,0.025,0.0455
2016/7/2 14:00,0.0658,0.0489,0.0864,0.0703,0.0199,0.052
2016/7/2 15:00,0.063,0.0483,0.085,0.0704,0.0179,0.0539
2016/7/2 16:00,0.0652,0.0443,0.1367,0.0668,0.0189,0.0616
2016/7/2 17:00,0.0649,0.0435,0.1608,0.0613,0.0192,0.0689
2016/7/2 18:00,0.064,0.0419,0.1728,0.0634,0.0184,0.0676
2016/7/2 19:00,0.0608,0.0443,0.1763,0.0648,0.0179,0.072
2016/7/2 20:00,0.0473,0.0391,0.1871,0.0543,0.0209,0.057
2016/7/2 21:00,0.0348,0.0348,0.1632,0.0492,0.0126,0.0426
2016/7/2 22:00,0.0276,0.0271,0.0523,0.0448,0.0099,0.0345
2016/7/2 23:00,0.0231,0.0243,0.0491,0.043,0.0087,0.0321
2016/7/3 0:00,0.0107,0.0208,0.0412,0.0397,0.0092,0.0276
2016/7/3 1:00,0.0042,0.0133,0.0324,0.0246,0.0054,0.0215
2016/7/3 2:00,0.0037,0.0087,0.0261,0.0179,0.0029,0.0156
2016/7/3 3:00,0.004,0.0059,0.0209,0.0103,0.0019,0.0122
2016/7/3 4:00,0.0037,0.005,0.0184,0.0065,0.0011,0.0092
2016/7/3 5:00,0.0037,0.0053,0.0179,0.0058,0,0.0083
2016/7/3 6:00,0.0037,0.009,0.0215,0.0097,0,0.008
