date,p (mbar),T (degC),Tpot (K),Tdew (degC),rh (%),VPmax (mbar)
2020/1/1 0:10,1008.89,0.71,273.18,-1.33,86.1,6.43
2020/1/1 0:20,1008.76,0.75,273.22,-1.44,85.2,6.45
2020/1/1 0:30,1008.66,0.73,273.21,-1.48,85.1,6.44
2020/1/1 0:40,1008.64,0.37,272.86,-1.64,86.3,6.27
2020/1/1 0:50,1008.61,0.33,272.82,-1.5,87.4,6.26
2020/1/1 1:00,1008.44,0.34,272.84,-1.54,87.1,6.26
2020/1/1 1:10,1008.49,0.19,272.69,-1.65,87.4,6.19
2020/1/1 1:20,1008.4,0.03,272.53,-1.7,88.1,6.12
2020/1/1 1:30,1008.29,0.11,272.63,-1.61,88.1,6.16
2020/1/1 1:40,1008.28,0.22,272.73,-1.62,87.4,6.2
2020/1/1 1:50,1008.24,-0.04,272.48,-1.85,87.5,6.09
2020/1/1 2:00,1008.32,-0.21,272.3,-1.78,89.1,6.01
2020/1/1 2:10,1008.24,-0.1,272.42,-1.74,88.6,6.06
2020/1/1 2:20,1008.35,-0.16,272.35,-1.88,88.1,6.04
2020/1/1 2:30,1008.3,-0.22,272.3,-1.82,88.9,6.01
2020/1/1 2:40,1008.4,-0.06,272.45,-1.77,88.2,6.08
2020/1/1 2:50,1008.39,-0.17,272.34,-1.81,88.6,6.03
2020/1/1 3:00,1008.46,-0.05,272.45,-1.71,88.5,6.09
2020/1/1 3:10,1008.15,-0.21,272.31,-1.84,88.7,6.01
2020/1/1 3:20,1008.07,-0.77,271.77,-2.31,89.2,5.78
2020/1/1 3:30,1008.12,-0.93,271.61,-2.26,90.6,5.71
2020/1/1 3:40,1008.04,-0.86,271.68,-2.17,90.8,5.73
2020/1/1 3:50,1008.16,-0.87,271.66,-2.16,90.9,5.73
2020/1/1 4:00,1008,-1.02,271.52,-2.31,90.9,5.67
2020/1/1 4:10,1007.76,-1.15,271.41,-2.37,91.4,5.61
2020/1/1 4:20,1007.84,-1.08,271.47,-2.25,91.7,5.64
2020/1/1 4:30,1007.85,-1.59,270.96,-2.93,90.5,5.43
